Time (s),Jaw Opening (mm),Confidence (%)
0.17,2.202728668183633,0
0.23,9.200895761029344,0
0.3,9.627478268695793,0
0.37,8.283912817401044,55.01405712948576
0.41,2.7431771167401697,51.25598952245359
0.47,3.17036342523316,51.955329223803446
0.54,2.648060424561579,52.41016828139654
0.6,2.2109339133285726,52.73801895683202
0.67,5.243908624277906,55.42744574052505
0.7,1.7955420278859522,55.269846691237376
0.77,4.850712500726658,57.0617936229036
0.8,18.63486344383815,26.25118895468978
0.87,4.5145001599792165,28.477638680929644
0.94,3.893933986791652,29.729905605220026
1.05,12.053547982598474,24.105328092757148
1.17,11.019715377632918,22.263855186994732
1.21,2.985982642581768,22.644916368637993
1.27,0.6942268630603207,20.387382457649835
1.37,2.065453425671835,17.94982835304407
1.44,1.4244168818487786,17.48075255330373
18.67,7.2488177662594175,17.666581183696195
18.7,6.732206568870256,44.11509132837292
